"Story","Title","Result","Date","Stability","Duration (s)"
"Create Room","As a user I can create room chat with valid credentials","FAILURE","2023-12-20T23:19:03.6758496+07:00[Asia/Jakarta]","0.0","0.19"
"Create Room","As a user I can not create room chat with invalid endpoint","SUCCESS","2023-12-20T23:19:03.8879151+07:00[Asia/Jakarta]","0.0","0.09"
"Create Room","As a user I can not create room chat without token","SUCCESS","2023-12-20T23:19:03.9914514+07:00[Asia/Jakarta]","0.0","0.11"
"Get Chat By Room Id","As a user I can get chat by room id with valid credentials","SUCCESS","2023-12-20T23:19:04.1204923+07:00[Asia/Jakarta]","0.0","0.15"
"Get Chat By Room Id","As a user I can not get chat by room id with invalid endpoint","SUCCESS","2023-12-20T23:19:04.2770305+07:00[Asia/Jakarta]","0.0","0.09"
"Get Chat By Room Id","As a user I can not get chat by room id without token","SUCCESS","2023-12-20T23:19:04.3785704+07:00[Asia/Jakarta]","0.0","0.12"
