"Story","Title","Result","Date","Stability","Duration (s)"
"Reset Password Admin","As an admin I can reset password with valid credentials","SUCCESS","2023-12-20T23:18:47.7291759+07:00[Asia/Jakarta]","0.0","0.42"
"Reset Password Admin","As an admin I can not reset password with empty new password","SUCCESS","2023-12-20T23:18:48.2178194+07:00[Asia/Jakarta]","0.0","0.21"
"Reset Password Admin","As an admin I can not reset password with empty confirm password","SUCCESS","2023-12-20T23:18:48.53638+07:00[Asia/Jakarta]","0.0","0.23"
"Reset Password Admin","As an admin I can not reset password with empty invalid password","SUCCESS","2023-12-20T23:18:48.7899513+07:00[Asia/Jakarta]","0.0","0.32"
"Reset Password Admin","As an admin I can not reset password without login","SUCCESS","2023-12-20T23:18:49.127536+07:00[Asia/Jakarta]","0.0","0.14"
