"Story","Title","Result","Date","Stability","Duration (s)"
"Complaint Solved Statistic","As an admin I can not get complaint solved statistic without token","SUCCESS","2023-12-20T23:18:53.8417784+07:00[Asia/Jakarta]","0.0","0.14"
"Complaint Statistic","As an admin I can not get complaint statistic without token","SUCCESS","2023-12-20T23:18:54.3404864+07:00[Asia/Jakarta]","0.0","0.1"
"User Statistic","As an admin I can get user statistic with valid credentials","SUCCESS","2023-12-20T23:18:54.4540482+07:00[Asia/Jakarta]","0.0","0.18"
"User Statistic","As an admin I can not get user statistic with invalid endpoint","SUCCESS","2023-12-20T23:18:54.6451308+07:00[Asia/Jakarta]","0.0","0.11"
"User Statistic","As an admin I can not get user statistic without token","SUCCESS","2023-12-20T23:18:54.7746765+07:00[Asia/Jakarta]","0.0","0.1"
