"Story","Title","Result","Date","Stability","Duration (s)"
"Update Admin","As an admin I can not update admin with registered email","FAILURE","2023-12-20T23:18:52.5998053+07:00[Asia/Jakarta]","0.0","0.29"
"Update Admin","As an admin I can not update admin with registered username","FAILURE","2023-12-20T23:18:53.1004751+07:00[Asia/Jakarta]","0.0","0.25"
"Complaint Statistic","As an admin I can get complaint statistic with valid credentials","FAILURE","2023-12-20T23:18:54.0118644+07:00[Asia/Jakarta]","0.0","0.13"
"Complaint Statistic","As an admin I can not get complaint statistic with invalid endpoint","FAILURE","2023-12-20T23:18:54.1574087+07:00[Asia/Jakarta]","0.0","0.16"
